,2012,2013,2014,2015,2016,2017
Matthäus,0.7924438997958231,-1.7629457796998396,0.25428136887132596,0.7625130920232215,0.9169935115255002,0.7945267691510988
Klybeck,-0.11367591283344165,0.606520804800682,0.06859631837252422,-0.5188682298489422,-0.8825603249949442,-0.220347889077275
Kleinhüningen,1.7613953775823343,1.080664248704933,0.26603625407420833,-0.7793649343426541,2.1352884005804333,-0.5842978960964885
Riehen,-1.5211473661396069,0.7243011152654517,-0.3061584459642807,-0.3568187965010175,-1.3472381097350263,-1.5040983527048066
Gotthelf,0.013202353370324207,0.27047164995602285,0.7414806233679676,-0.48961055691870287,-0.22629051708603326,0.695765610153584
Altstadt Grossbasel,1.3190685555314157,-0.09973267910457315,0.32704780718556214,-0.48031580907177546,-0.5706822052151109,1.9343212652596018
Vorstädte,-1.5654495393744,1.7389426080818189,-0.6141178097156261,0.5905389878268656,-1.0397424709200347,-0.4857579856805886
Am Ring,2.1618827675291286,0.44898902002520336,1.870372441367954,1.2124606996816045,0.3605296184145343,0.35395787750457114
Breite,0.6582527126951384,0.14854515041215643,0.1054894145828163,-0.6398103490772507,0.8706708115626395,0.22160098954215735
St. Alban,0.31813216463833566,-1.2979175004348547,1.2335680733866317,1.5434445881970025,1.513495235897821,-0.5954490987375821
Gundeldingen,1.6699880915468026,-0.9395026686347486,-0.4411693520618458,0.42919382467189005,1.1925034442242866,-0.7990597219209797
Hirzbrunnen,-1.5058418988929614,1.1936157109734369,-0.9615884467683434,-0.2877887917439663,-1.2418878290090922,1.3229881365150271
Bruderholz,-1.814465054425538,-0.5367347449164742,-0.049331493369510405,-0.5938007790994407,-0.10532687365037476,1.4093151060374685
Bachletten,-0.19043735477406715,0.6530423928408675,-1.0064962359553138,-0.6761415550381066,-0.7703325468045504,0.06219283329067639
Iselin,-1.5955850572311256,-0.5522863099596359,0.4858887662028323,-0.34896839180438927,-0.4401988398636215,0.32216845684367773
St. Johann,0.42675735766273826,0.3882576622664345,1.3413279311719544,1.6933598403317949,0.4342558184461203,-0.25767443611452917
Altstadt Kleinbasel,1.9755045116108352,0.490188183275819,-0.04126595753642012,0.43180422998558343,0.7012199850640469,-1.8289234489162647
Clara,-0.2345269254619223,-1.4763729552104001,-2.8027320572651244,0.17023088058324265,0.3912596080895357,0.6901051766524983
Wettstein,0.17771707874060594,-0.6245853872445633,-0.9008126296275161,-0.162654750298018,1.5555642743796554,0.3228890611985019
Rosental,0.7594625004497316,0.4679438517402543,0.3713484209788823,0.7568128093779442,1.150311903210742,-1.2062870890309416
Bettingen,-0.5734544421799995,1.3663844721189908,-0.04746909611002877,-0.015256010100749418,2.064878169472825,-0.8333205323155142
